69.05,SMH-Logistic,20.24,MT-baseline,23.49,SMH-Logistic,68.07,SMH-Logistic
66.67,MT-baseline,20.24,SMH-Logistic,26.06,SMH-RandForest,65.60,MS-RandForest
66.67,TER,20.63,UoW,26.35,UoW,64.40,SMH-RandForest
66.67,MS-RandForest,20.63,MS-RandForest,26.63,MS-RandForest,63.74,TER
65.87,SMH-RandForest,20.63,IIT-Meteor,26.75,IIT-Meteor,63.54,SimpleNets-MLP
65.87,SimpleNets-MLP,20.63,SMH-RandForest,27.59,BLEU,62.82,BLEU
65.08,BLEU,21.03,SimpleNets-MLP,27.94,MT-baseline,62.72,MT-baseline
63.49,IIT-Meteor,21.03,TER,28.10,TER,62.69,IIT-Meteor
63.49,UoW,21.43,BLEU,28.34,SimpleNets-MLP,61.71,MS-IBk-b
62.70,WER,21.43,METEOR,28.43,MS-IBk-best,61.50,MS-IBk
62.70,MS-IBk-b,22.62,WER,29.27,MS-IBk,60.12,METEOR
61.90,SMH-RandForest-b,23.81,SMH-RandForest-b,30.79,SMH-RandForest-b,59.69,SMH-RandForest-b
61.90,METEOR,24.21,MS-IBk-b,30.87,WER,59.06,WER
61.90,MS-IBk,25.00,MS-IBk,31.25,METEOR,58.83,UoW
57.94,Majority-class,27.38,SimpleNets-RNN2,33.19,SimpleNets-RNN2,51.29,SimpleNets-RNN2
57.94,SimpleNets-RNN2,28.17,SimpleNets-RNN3,35.30,Majority-class,51.00,CLaC-RF
53.17,DeepBow,28.97,Majority-class,36.31,CLaC-RF,46.64,SimpleNets-RNN3
51.59,SimpleNets-RNN3,30.56,CLaC-RF,39.88,SimpleNets-RNN3,46.30,DeepBow
49.21,CLaC-RF,32.94,DeepIndiBow,40.62,DeepBow,42.53,DeepIndiBow
47.62,DeepIndiBow,34.52,DeepBow,40.76,DeepIndiBow,42.51,Majority-class
